SampleName	ng	DNA	Dilution	Type	Rep
S1_1	0.7	7.766666667	7.142857143	Control	1
S1_2	0.7	9.433333333	7.142857143	Control	2
S1_3	0.7	8.933333333	7.142857143	Control	3
S1_4	0.7	9.866666667	7.142857143	Control	4
S1_5	0.7	11.7	7.142857143	Control	5
S1_6	0.7	12.06666667	7.142857143	Control	6
S2_1	0.7	24.76666667	7.142857143	KO	1
S2_2	0.7	22.33333333	7.142857143	KO	2
S2_3	0.7	37.975	7.142857143	KO	3
S2_4	0.7	27.53333333	7.142857143	KO	4
S2_5	0.7	27.03333333	7.142857143	KO	5
S2_6	0.7	44.66	7.142857143	KO	6
